rental_id,user_phone,bike_serial_number,station_name,start_time,end_time,total_price
1,995511106980,378920305,1905 Square,2023-01-15 10:00:00,2023-01-15 11:00:00,15.50
2,79993324455,184920176,1905 Square,2023-02-18 09:30:00,2023-02-18 10:45:00,18.00
3,79824445564,509723401,1905 Square,2023-03-22 14:00:00,2023-03-22 15:30:00,20.00
4,370294939443,627591083,1905 Square,2023-04-25 16:15:00,2023-04-25 17:00:00,12.00
5,79193448557,804657923,Plotinka,2023-05-10 12:30:00,2023-05-10 13:15:00,10.00
6,78120870790,491260578,1905 Square,2023-06-07 08:45:00,2023-06-07 10:00:00,25.00
7,79222547433,587461932,Greenwich Mall,2023-07-20 11:00:00,2023-07-20 12:00:00,16.00
8,79990960696,930572184,Greenwich Mall,2023-08-05 13:15:00,2023-08-05 14:30:00,22.50
9,79130774322,614395820,Yeltsin Center,2023-09-17 17:00:00,2023-09-17 18:00:00,14.00
10,79130776322,351706498,Greenwich Mall,2023-10-22 10:30:00,2023-10-22 11:15:00,13.50
11,78993314565,928317654,1905 Square,2023-11-03 09:00:00,2023-11-03 10:00:00,15.00
12,995511106980,254738209,Greenwich Mall,2023-12-10 14:30:00,2023-12-10 15:30:00,17.00
13,79993324455,510938273,Yeltsin Center,2024-01-22 12:00:00,2024-01-22 13:00:00,20.50
14,79824445564,738265914,Yeltsin Center,2024-02-15 13:30:00,2024-02-15 14:15:00,19.00
15,370294939443,492670581,Plotinka,2024-03-10 11:15:00,2024-03-10 12:00:00,18.00
16,79193448557,764920518,Plotinka,2024-04-05 10:45:00,2024-04-05 11:30:00,14.00
17,78120870790,923465718,Yeltsin Center,2024-05-30 16:30:00,2024-05-30 17:30:00,21.00
18,79222547433,859172640,Plotinka,2024-06-15 13:00:00,2024-06-15 14:15:00,23.50
19,79990960696,316504928,Yeltsin Center,2024-07-20 10:00:00,2024-07-20 11:00:00,16.50
20,79130774322,248695703,Plotinka,2024-08-11 09:30:00,2024-08-11 10:15:00,14.50
